IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.118.70,2083,2083,true,SIN,Asia Pacific,Singapore,70,4.55
8.210.207.214,2087,2087,true,HKG,Asia Pacific,Hong Kong,36,4.54
47.243.139.243,2053,2053,true,HKG,Asia Pacific,Hong Kong,50,4.54
47.76.32.108,2053,2053,true,HKG,Asia Pacific,Hong Kong,63,4.54
8.218.181.189,2087,2087,true,HKG,Asia Pacific,Hong Kong,76,4.54
8.219.229.190,2096,2096,true,SIN,Asia Pacific,Singapore,86,4.54
8.210.89.245,2083,2083,true,HKG,Asia Pacific,Hong Kong,71,4.54
47.237.95.146,2053,2053,true,SIN,Asia Pacific,Singapore,52,4.54
47.236.10.100,2053,2053,true,SIN,Asia Pacific,Singapore,80,4.53
47.243.74.220,2087,2087,true,HKG,Asia Pacific,Hong Kong,73,4.53
47.242.17.250,2053,2053,true,HKG,Asia Pacific,Hong Kong,102,4.52
47.237.95.13,2053,2053,true,SIN,Asia Pacific,Singapore,38,4.52
47.236.93.176,2096,2096,true,SIN,Asia Pacific,Singapore,50,4.51
47.243.255.224,8443,8443,true,HKG,Asia Pacific,Hong Kong,62,4.51
47.242.174.27,2096,2096,true,HKG,Asia Pacific,Hong Kong,48,4.50
47.242.107.109,2053,2053,true,HKG,Asia Pacific,Hong Kong,79,4.50
47.236.180.51,2087,2087,true,SIN,Asia Pacific,Singapore,90,4.49
8.219.86.200,2053,2053,true,SIN,Asia Pacific,Singapore,101,4.49
47.242.176.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,113,4.49
8.218.173.78,2053,2053,true,HKG,Asia Pacific,Hong Kong,69,4.49
47.236.146.249,8443,8443,true,SIN,Asia Pacific,Singapore,35,4.49
47.237.95.146,2096,2096,true,SIN,Asia Pacific,Singapore,53,4.49
47.236.254.120,2083,2083,true,SIN,Asia Pacific,Singapore,69,4.48
8.219.51.211,2083,2083,true,SIN,Asia Pacific,Singapore,92,4.48
47.242.79.71,2053,2053,true,HKG,Asia Pacific,Hong Kong,57,4.47
47.238.0.114,8443,8443,true,HKG,Asia Pacific,Hong Kong,73,4.46
47.245.86.230,2087,2087,true,SIN,Asia Pacific,Singapore,49,4.45
8.217.181.213,2053,2053,true,HKG,Asia Pacific,Hong Kong,94,4.45
8.210.55.134,2087,2087,true,HKG,Asia Pacific,Hong Kong,50,4.45
8.219.126.240,2096,2096,true,SIN,Asia Pacific,Singapore,107,4.45
8.219.1.92,2053,2053,true,SIN,Asia Pacific,Singapore,108,4.44
47.236.170.54,2096,2096,true,SIN,Asia Pacific,Singapore,70,4.43
47.76.94.15,8443,8443,true,HKG,Asia Pacific,Hong Kong,171,4.43
47.76.77.103,8443,8443,true,HKG,Asia Pacific,Hong Kong,291,4.43
47.243.90.180,2096,2096,true,HKG,Asia Pacific,Hong Kong,113,4.43
8.219.42.72,443,443,true,SIN,Asia Pacific,Singapore,73,4.42
